index,ID,GENDER,OWN_CAR,OWN_REALTY,CHILDREN,TOTAL_INCOME,INCOME_TYPE,EDUCATION_TYPE,FAMILY_STATUS,HOUSING_TYPE,AGE,EXPERIENCE,WORK_PHONE,OCCUPATION_TYPE,FAM_MEMBERS,CREDIT_CARD_APPROVAL_STATUS
0,5008804,1,1,1,0,427500.0,4,1,0,4,32.0,12.0,1,12,2.0,1
1,5008805,1,1,1,0,427500.0,4,1,0,4,32.0,12.0,1,12,2.0,1
2,5008806,1,1,1,0,112500.0,4,4,1,1,58.0,3.0,0,18,2.0,1
3,5008808,0,0,1,0,270000.0,0,4,3,1,52.0,8.0,0,16,1.0,1
4,5008809,0,0,1,0,270000.0,0,4,3,1,52.0,8.0,0,16,1.0,1
5,5008810,0,0,1,0,270000.0,0,4,3,1,52.0,8.0,0,16,1.0,1
6,5008811,0,0,1,0,270000.0,0,4,3,1,52.0,8.0,0,16,1.0,1
7,5008812,0,0,1,0,283500.0,1,1,2,1,61.0,0.0,0,15,1.0,1
8,5008813,0,0,1,0,283500.0,1,1,2,1,61.0,0.0,0,15,1.0,1
9,5008814,0,0,1,0,283500.0,1,1,2,1,61.0,0.0,0,15,1.0,1
10,5008815,1,1,1,0,270000.0,4,1,1,1,46.0,2.0,1,0,2.0,1
11,5112956,1,1,1,0,270000.0,4,1,1,1,46.0,2.0,1,0,2.0,1
13,5008819,1,1,1,0,135000.0,0,4,1,1,48.0,3.0,0,8,2.0,1
14,5008820,1,1,1,0,135000.0,0,4,1,1,48.0,3.0,0,8,2.0,1
15,5008821,1,1,1,0,135000.0,0,4,1,1,48.0,3.0,0,8,2.0,1
16,5008822,1,1,1,0,135000.0,0,4,1,1,48.0,3.0,0,8,2.0,1
17,5008823,1,1,1,0,135000.0,0,4,1,1,48.0,3.0,0,8,2.0,1
18,5008824,1,1,1,0,135000.0,0,4,1,1,48.0,3.0,0,8,2.0,1
19,5008825,0,1,0,0,130500.0,4,2,1,1,29.0,3.0,0,0,2.0,1
20,5008826,0,1,0,0,130500.0,4,2,1,1,29.0,3.0,0,0,2.0,1
21,5008830,0,0,1,0,157500.0,4,4,1,1,27.0,4.0,0,8,2.0,1
22,5008831,0,0,1,0,157500.0,4,4,1,1,27.0,4.0,0,8,2.0,1
23,5008832,0,0,1,0,157500.0,4,4,1,1,27.0,4.0,0,8,2.0,1
24,5008834,0,0,1,1,112500.0,4,4,3,1,30.0,4.0,0,12,2.0,1
25,5008835,0,0,1,1,112500.0,4,4,3,1,30.0,4.0,0,12,2.0,1
27,5008836,1,1,1,3,270000.0,4,4,1,1,34.0,3.0,0,8,5.0,1
