index,ID,GENDER,OWN_CAR,OWN_REALTY,CHILDREN,TOTAL_INCOME,INCOME_TYPE,EDUCATION_TYPE,FAMILY_STATUS,HOUSING_TYPE,AGE,EXPERIENCE,WORK_PHONE,OCCUPATION_TYPE,FAM_MEMBERS,CREDIT_CARD_APPROVAL_STATUS
21667,5065316,0,0,1,1,157500.0,2,1,1,1,42.0,11.0,0,3,3.0,0
12002,5036707,1,1,1,0,180000.0,4,4,1,1,46.0,4.0,0,8,2.0,1
3480,5022848,1,0,1,0,180000.0,0,4,2,1,34.0,2.0,0,8,1.0,1
47741,5145914,1,1,1,1,180000.0,0,1,1,1,41.0,4.0,0,12,3.0,1
6429,5025171,1,1,1,1,171000.0,4,4,1,1,27.0,2.0,0,10,3.0,1
46486,5142458,0,0,1,0,67500.0,0,1,2,1,51.0,1.0,0,3,1.0,0
33491,5096871,1,1,1,0,270000.0,4,3,1,1,41.0,4.0,0,6,2.0,1
5398,5024875,0,0,0,0,270000.0,0,4,3,5,34.0,5.0,1,12,1.0,0
46486,5142458,0,0,1,0,67500.0,0,1,2,1,51.0,1.0,0,3,1.0,0
48903,5149495,0,1,1,1,360000.0,4,1,1,1,33.0,2.0,1,3,3.0,1
46713,5142718,0,0,0,0,202500.0,4,4,3,1,56.0,35.0,1,11,1.0,1
36069,5100427,0,0,1,1,202500.0,4,2,1,1,29.0,3.0,0,16,3.0,0
17749,5052592,0,0,1,0,76500.0,2,4,1,1,51.0,18.0,0,12,2.0,0
434595,5054650,1,1,1,1,135000.0,4,1,3,1,51.0,17.0,0,10,3.0,0
231,5009050,0,0,1,2,202500.0,4,1,1,1,30.0,6.0,0,3,4.0,1
434463,5009524,1,1,0,1,112500.0,4,4,2,0,32.0,3.0,1,8,2.0,0
4788,5024235,0,0,1,0,47250.0,1,4,1,2,58.0,0.0,0,15,2.0,1
434566,5050606,1,0,0,0,157500.0,4,4,1,1,50.0,19.0,1,8,2.0,0
434616,5068779,0,0,0,0,180000.0,4,4,3,5,36.0,10.0,1,13,1.0,0
31939,5092414,1,1,1,0,225000.0,0,4,1,1,37.0,6.0,0,8,2.0,0
44269,5126716,1,0,1,1,157500.0,4,4,1,3,30.0,9.0,0,10,3.0,0
33325,5096634,0,0,0,0,157500.0,0,1,1,5,27.0,3.0,0,12,2.0,1
32096,5094917,0,1,1,0,135000.0,0,4,1,1,33.0,4.0,1,3,2.0,1
45872,5137506,0,0,0,0,216000.0,0,4,1,1,53.0,4.0,1,12,2.0,0
43765,5126108,0,0,1,0,112500.0,2,4,3,1,56.0,35.0,1,3,1.0,1
434465,5009749,0,1,0,0,315000.0,0,1,1,1,37.0,1.0,1,12,2.0,0
42415,5117828,0,0,0,0,94500.0,1,4,4,1,64.0,0.0,0,15,1.0,1
434498,5023831,0,0,1,2,112500.0,0,4,1,1,33.0,2.0,0,16,4.0,0
36298,5104947,0,0,1,3,67500.0,0,4,1,1,45.0,1.0,1,16,5.0,0
42683,5118275,0,0,0,0,112500.0,1,4,1,2,58.0,0.0,0,15,2.0,0
3198,5022506,0,0,1,1,720000.0,0,1,1,1,45.0,6.0,0,10,3.0,1
34987,5117709,1,1,0,0,315000.0,4,1,1,1,55.0,10.0,1,12,2.0,1
39372,5113593,0,0,1,0,135000.0,0,1,1,1,48.0,2.0,0,12,2.0,1
4643,5024061,0,0,0,3,135000.0,0,4,1,1,30.0,7.0,0,3,5.0,1
434627,5079166,1,1,0,0,202500.0,4,4,1,5,37.0,3.0,0,8,2.0,0
40622,5115924,0,1,1,1,157500.0,0,4,1,1,38.0,1.0,0,16,3.0,1
434599,5058350,1,0,1,0,99000.0,1,1,2,1,67.0,0.0,0,15,1.0,0
31252,5091608,1,0,0,0,90000.0,0,1,3,5,25.0,4.0,1,4,1.0,1
3385,5022732,0,0,1,0,90000.0,1,4,1,1,58.0,0.0,0,15,2.0,1
434679,5100430,1,1,0,0,180000.0,4,4,3,1,44.0,1.0,0,8,1.0,0
434627,5079166,1,1,0,0,202500.0,4,4,1,5,37.0,3.0,0,8,2.0,0
23833,5068485,1,1,0,1,229500.0,2,4,1,1,59.0,11.0,0,10,3.0,1
434657,5092479,1,0,0,1,85500.0,2,4,1,2,41.0,18.0,0,3,3.0,0
46686,5142686,0,0,0,0,207000.0,0,1,1,1,29.0,1.0,1,10,2.0,1
434595,5054650,1,1,1,1,135000.0,4,1,3,1,51.0,17.0,0,10,3.0,0
1034,5009984,0,1,1,0,180000.0,2,4,1,1,56.0,10.0,0,11,2.0,1
36703,5105431,1,0,1,2,112500.0,4,4,0,1,39.0,6.0,0,12,4.0,1
434612,5066710,0,0,0,0,247500.0,1,4,4,1,67.0,0.0,0,15,1.0,1
4739,5024172,0,0,1,0,202500.0,1,4,0,1,60.0,0.0,0,15,2.0,1
26683,5089397,0,1,0,0,562500.0,4,1,1,1,40.0,7.0,1,10,2.0,1
2806,5022042,1,0,1,0,180000.0,4,4,1,1,27.0,3.0,0,16,2.0,1
45000,5135636,1,1,1,0,195750.0,4,4,1,1,51.0,2.0,1,8,2.0,0
31360,5091736,0,1,1,0,243000.0,4,4,3,1,40.0,5.0,0,16,1.0,1
434679,5100430,1,1,0,0,180000.0,4,4,3,1,44.0,1.0,0,8,1.0,0
1946,5011006,0,1,1,0,157500.0,4,4,1,1,29.0,5.0,0,16,2.0,1
21664,5065313,0,0,1,1,157500.0,2,1,1,1,42.0,11.0,0,3,3.0,0
48679,5149240,1,0,0,0,225000.0,0,1,1,5,25.0,2.0,0,7,2.0,1
43615,5125934,0,0,1,2,135000.0,0,3,0,5,27.0,5.0,1,16,4.0,0
43180,5125408,0,0,1,1,81000.0,0,4,3,1,25.0,3.0,0,12,2.0,1
45477,5137046,0,0,0,0,54000.0,1,1,1,1,62.0,0.0,0,15,2.0,1
1497,5010496,1,1,1,1,202500.0,4,4,1,1,27.0,0.0,1,12,3.0,1
434469,5009894,0,0,0,0,180000.0,1,4,1,1,60.0,0.0,0,15,2.0,0
46256,5142184,1,1,1,2,450000.0,0,1,1,1,48.0,11.0,1,10,4.0,0
42184,5117368,1,1,1,1,180000.0,4,1,1,5,32.0,4.0,1,8,3.0,1
42807,5118469,1,1,0,2,270000.0,4,4,1,1,49.0,3.0,1,10,4.0,1
434532,5036469,1,1,0,0,112500.0,2,4,3,1,55.0,4.0,0,4,2.0,0
25191,5079264,0,0,0,2,315000.0,0,4,3,1,30.0,1.0,0,10,3.0,1
32719,5095839,1,0,0,0,225000.0,0,4,1,1,40.0,3.0,1,8,2.0,0
32027,5093260,0,1,1,0,157500.0,4,4,4,1,42.0,4.0,0,16,1.0,0
4728,5024162,1,1,1,3,202500.0,4,4,1,1,36.0,5.0,0,8,5.0,1
17749,5052592,0,0,1,0,76500.0,2,4,1,1,51.0,18.0,0,12,2.0,0
32697,5095801,1,1,0,1,252000.0,2,1,1,1,34.0,4.0,1,6,3.0,1
17940,5052823,0,0,1,0,180000.0,4,4,3,1,39.0,2.0,0,6,1.0,1
19063,5054155,0,0,0,0,67500.0,4,4,3,1,54.0,13.0,0,8,1.0,1
30796,5091103,1,0,1,0,198000.0,1,1,1,1,67.0,0.0,0,15,2.0,1
434572,5051132,0,0,0,0,450000.0,0,1,3,1,27.0,0.0,0,3,1.0,0
7811,5029073,0,0,1,0,202500.0,2,4,1,1,54.0,5.0,0,8,2.0,1
